402.5	0.5254	8.8772
407.5	0.5364	8.4673
412.5	0.547	8.6830
417.5	0.5574	8.2309
422.5	0.567	7.6042
427.5	0.5765	6.6338
432.5	0.5856	6.5289
437.5	0.5943	7.1809
442.5	0.6022	7.4343
447.5	0.6104	7.7294
452.5	0.6186	7.7911
457.5	0.6259	7.6515
462.5	0.6326	7.3998
467.5	0.6397	7.2611
472.5	0.6462	7.1100
477.5	0.6519	6.9925
482.5	0.6572	6.6345
487.5	0.6633	6.0476
492.5	0.6688	6.1147
497.5	0.6735	5.9028
502.5	0.674	5.5319
507.5	0.6773	5.5314
512.5	0.6856	5.3142
517.5	0.6903	4.7352
522.5	0.6933	4.8961
527.5	0.695	4.7516
532.5	0.6977	4.7026
537.5	0.7011	4.6045
542.5	0.7019	4.4365
547.5	0.7051	4.3544
552.5	0.7097	4.2539
557.5	0.7122	4.0761
562.5	0.7133	3.9652
567.5	0.7119	3.8227
572.5	0.7123	3.7642
577.5	0.7189	3.6804
582.5	0.7249	3.6347
587.5	0.7116	3.3810
592.5	0.698	3.2206
597.5	0.714	3.2183
602.5	0.7317	3.1721
607.5	0.739	3.1267
612.5	0.7447	2.9746
617.5	0.75	2.9066
622.5	0.7545	2.8703
627.5	0.7477	2.7535
632.5	0.7558	2.7115
637.5	0.7658	2.6984
642.5	0.7693	2.6258
647.5	0.7539	2.4955
652.5	0.7594	2.4326
657.5	0.7711	2.3205
662.5	0.7857	2.4289
667.5	0.7916	2.3850
672.5	0.7957	2.3322
677.5	0.799	2.2821
682.5	0.7988	2.2129
687.5	0.7122	1.8744
692.5	0.7331	1.9066
697.5	0.7642	1.9533
702.5	0.7683	1.8924
707.5	0.7907	1.8972
712.5	0.7969	1.8456
717.5	0.677	1.5670
722.5	0.6729	1.5236
727.5	0.6642	1.4667
732.5	0.7341	1.5366
737.5	0.7917	1.5880
742.5	0.8219	1.5877
747.5	0.8331	1.5883
752.5	0.8362	1.5539
757.5	0.7344	1.3339
762.5	0.4553	0.7565
767.5	0.7177	1.1976
772.5	0.838	1.3872
777.5	0.8447	1.3730
782.5	0.8458	1.3386
787.5	0.8296	1.2780
792.5	0.8223	1.2168
797.5	0.8242	1.1962
802.5	0.8224	1.1625
807.5	0.8317	1.1420
812.5	0.7546	1.0334
817.5	0.6752	0.9208
822.5	0.7075	0.9219
827.5	0.738	0.9445
832.5	0.7635	0.9334
837.5	0.8191	0.9661
842.5	0.848	0.9718
847.5	0.8593	0.9512
852.5	0.8598	0.8854
857.5	0.8652	0.8985
862.5	0.8691	0.8962
867.5	0.8707	0.8393
872.5	0.872	0.8625
877.5	0.8723	0.8420
882.5	0.8705	0.8167
887.5	0.8671	0.7984
892.5	0.8208	0.7499
897.5	0.6476	0.6112
902.5	0.6617	0.5954
907.5	0.6588	0.5839
912.5	0.609	0.5378
917.5	0.6345	0.5409
922.5	0.7253	0.5687
927.5	0.5913	0.4900
932.5	0.2445	0.2974
937.5	0.2296	0.2721
942.5	0.3201	0.3086
947.5	0.2887	0.2930
952.5	0.3143	0.3007
957.5	0.368	0.3227
962.5	0.4554	0.3584
967.5	0.623	0.4283
972.5	0.6899	0.4529
977.5	0.6844	0.4407
982.5	0.7709	0.4756
987.5	0.8512	0.5049
992.5	0.8794	0.5120
997.5	0.8885	0.5088
