FILTER ID: ,490FS10-25,,,550FS10-25,,,680FS10-25,,,720FS10-25,,,800FS20-25,,,900FS20-25,
,,,,,,,,,,,,,,,,,
,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance
,475.2,0.0308,,540.4,0.4128,,665.2,0.0311,,705.2,0.0392,,770.2001,0.0556,,873,0.0183
,475.3,0.0317,,540.6,0.4601,,665.3,0.0323,,705.3,0.0408,,770.4001,0.0588,,873.25,0.02
,475.4,0.0326,,540.8,0.5138,,665.4,0.0335,,705.4,0.0424,,770.6001,0.0621,,873.5,0.0221
,475.5,0.0335,,541,0.5749,,665.5,0.0348,,705.5,0.0441,,770.8,0.0655,,873.75,0.0246
,475.6,0.0344,,541.2,0.6444,,665.6,0.0361,,705.6,0.0459,,771.0001,0.0691,,874,0.0276
,475.7,0.0354,,541.4,0.7238,,665.7,0.0375,,705.7,0.0476,,771.2001,0.0728,,874.25,0.0311
,475.8,0.0364,,541.6,0.8146,,665.8,0.0388,,705.8,0.0495,,771.4001,0.0767,,874.5,0.0349
,475.9,0.0375,,541.8,0.9187,,665.9,0.0402,,705.9,0.0514,,771.6001,0.0807,,874.75,0.039
,476,0.0386,,542,1.0387,,666,0.0416,,706,0.0534,,771.8,0.085,,875,0.0433
,476.1,0.0398,,542.2,1.1773,,666.1,0.043,,706.1,0.0555,,772.0001,0.0896,,875.25,0.0478
,476.2,0.041,,542.4,1.3381,,666.2,0.0445,,706.2,0.0577,,772.2001,0.0944,,875.5,0.0523
,476.3,0.0423,,542.6,1.5251,,666.3,0.046,,706.3,0.0601,,772.4001,0.0995,,875.75,0.0568
,476.4,0.0436,,542.8,1.7432,,666.4,0.0476,,706.4,0.0625,,772.6001,0.105,,876,0.0612
,476.5,0.045,,543,1.9982,,666.5,0.0494,,706.5,0.0652,,772.8,0.1108,,876.25,0.0656
,476.6,0.0465,,543.2,2.2969,,666.6,0.0512,,706.6,0.068,,773.0001,0.117,,876.5,0.07
,476.7,0.0481,,543.4,2.6473,,666.7,0.0532,,706.7,0.0709,,773.2001,0.1236,,876.75,0.0744
