FILTER ID: ,490FS10-25,,,550FS10-25,,,680FS10-25,,,720FS10-25,,,800FS20-25,,,900FS20-25,
,,,,,,,,,,,,,,,,,
,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance
,492.4,61.3524,,,,,682.4,69.0912,,722.4,54.4178,,804.6,60.9943,,916,1.0842
,492.5,61.0921,,,,,682.5,69.1005,,722.5,54.1901,,804.8,61.0609,,916.25,0.9729
,492.6,60.8201,,,,,682.6,69.105,,722.6,53.9727,,805.0001,61.1104,,916.5,0.8502
,492.7,60.538,,,,,682.7,69.1041,,722.7,53.7672,,805.2,61.1385,,916.75,0.7217
,492.8,60.2478,,,,,682.8,69.0976,,722.8,53.5749,,805.4,61.1404,,917,0.5937
,492.9,59.9516,,,,,682.9,69.0854,,722.9,53.3966,,805.6,61.111,,917.25,0.4731
,493,59.6517,,,,,683,69.0675,,723,53.2328,,805.8,61.0446,,917.5,0.3658
,493.1,59.3504,,,,,683.1,69.0441,,723.1,53.0836,,806.0001,60.9348,,917.75,0.2768
,493.2,59.0503,,,,,683.2,69.0155,,723.2,52.9485,,806.2,60.7745,,918,0.2092
,493.3,58.754,,,,,683.3,68.9822,,723.3,52.8261,,806.4,60.5558,,918.25,0.1638
,493.4,58.4641,,,,,683.4,68.9449,,723.4,52.7146,,806.6,60.2705,,918.5,0.1396
,493.5,58.1833,,,,,683.5,68.904,,723.5,52.6112,,806.8,59.91,,918.75,0.1335
,493.6,57.9143,,,,,683.6,68.86,,723.6,52.5122,,807.0001,59.4655,,919,0.1408
,493.7,57.66,,,,,683.7,68.8134,,723.7,52.413,,807.2,58.9283,,919.25,0.1562
,493.8,57.4228,,,,,683.8,68.7644,,723.8,52.3078,,807.4,58.2904,,919.5,0.1737
,493.9,57.2055,,,,,683.9,68.7134,,723.9,52.19,,807.6,57.5445,,919.75,0.1883
,494,57.0106,,,,,684,68.6603,,724,52.0518,,807.8,56.6847,,920,0.1957
,494.1,56.8406,,,,,684.1,68.6053,,724.1,51.8842,,808.0001,55.7064,,920.25,0.1933
,494.2,56.6976,,,,,684.2,68.5484,,724.2,51.6776,,808.2,54.607,,920.5,0.1802
,494.3,56.5838,,,,,684.3,68.4897,,724.3,51.4216,,808.4,53.3858,,920.75,0.1572
,494.4,56.5009,,,,,684.4,68.4289,,724.4,51.1053,,808.6,52.0446,,921,0.1266
,494.5,56.4504,,,,,684.5,68.3655,,724.5,50.7175,,808.8,50.5872,,921.25,0.0918
,494.6,56.4333,,,,,684.6,68.2988,,724.6,50.2473,,809.0001,49.0203,,921.5,0.0565
,494.7,56.4501,,,,,684.7,68.2275,,724.7,49.6842,,809.2,47.3525,,921.75,0.0244
,494.8,56.5006,,,,,684.8,68.1497,,724.8,49.0186,,809.4,45.595,,922,-0.0015
,494.9,56.5842,,,,,684.9,68.063,,724.9,48.2422,,809.6,43.7606,,922.25,-0.0194
,495,56.699,,,,,685,67.9643,,725,47.3486,,809.8,41.8641,,922.5,-0.0283
,495.1,56.8424,,,,,685.1,67.8501,,725.1,46.3333,,810.0001,39.9212,,922.75,-0.0287
,495.2,57.0107,,,,,685.2,67.7164,,725.2,45.1943,,810.2,37.9483,,923,-0.0218
,495.3,57.1989,,,,,685.3,67.5584,,725.3,43.9326,,810.4,35.9623,,923.25,-0.0096
,495.4,57.4008,,,,,685.4,67.3711,,725.4,42.552,,810.6,33.9796,,923.5,0.006
,495.5,57.6091,,,,,685.5,67.1484,,725.5,41.0596,,810.8,32.016,,923.75,0.0232
,495.6,57.8149,,,,,685.6,66.8837,,725.6,39.4653,,811,30.0862,,924,0.041
,495.7,58.0083,,,,,685.7,66.5697,,725.7,37.7819,,811.2,28.2032,,924.25,0.0587
,495.8,58.1781,,,,,685.8,66.1983,,725.8,36.025,,811.4,26.3787,,924.5,0.0767
,495.9,58.3121,,,,,685.9,65.7608,,725.9,34.2118,,811.6,24.6221,,924.75,0.0957
,496,58.3973,,,,,686,65.2487,,726,32.361,,811.8,22.9411,,925,0.1163
,496.1,58.4201,,,,,686.1,64.6531,,726.1,30.4921,,812,21.3412,,925.25,0.1391
,496.2,58.3667,,,,,686.2,63.9659,,726.2,28.6243,,812.2,19.8263,,925.5,0.164
,496.3,58.2234,,,,,686.3,63.1798,,726.3,26.7758,,812.4,18.3983,,925.75,0.1899
,496.4,57.977,,,,,686.4,62.2888,,726.4,24.9637,,812.6,17.0576,,926,0.2147
,496.5,57.615,,,,,686.5,61.2878,,726.5,23.2028,,812.8,15.8034,,926.25,0.2353
,496.6,57.1266,,,,,686.6,60.1737,,726.6,21.5056,,813,14.6337,,926.5,0.2485
,496.7,56.5023,,,,,686.7,58.9446,,726.7,19.8821,,813.2,13.5456,,926.75,0.2506
,496.8,55.7348,,,,,686.8,57.6004,,726.8,18.3398,,813.4,12.5356,,927,0.2387
,496.9,54.8192,,,,,686.9,56.1429,,726.9,16.8836,,813.6,11.5999,,927.25,0.2111
,497,53.7533,,,,,687,54.5756,,727,15.5165,,813.8,10.7342,,927.5,0.1677
,497.1,52.5374,,,,,687.1,52.9039,,727.1,14.2395,,814,9.9345,,927.75,0.1103
,497.2,51.1752,,,,,687.2,51.1354,,727.2,13.0522,,814.2,9.1963,,928,0.0427
,497.3,49.6729,,,,,687.3,49.2796,,727.3,11.9528,,814.4,8.5156,,928.25,-0.03
,497.4,48.0396,,,,,687.4,47.348,,727.4,10.9387,,814.6,7.8883,,928.5,-0.1016
,497.5,46.2873,,,,,687.5,45.3542,,727.5,10.0066,,814.8,7.3104,,928.75,-0.1656
,497.6,44.4299,,,,,687.6,43.3128,,727.6,9.1524,,815,6.7782,,929,-0.2164
,497.7,42.4836,,,,,687.7,41.24,,727.7,8.3718,,815.2,6.2881,,929.25,-0.2497
,497.8,40.4662,,,,,687.8,39.1521,,727.8,7.6602,,815.4,5.8368,,929.5,-0.2633
,497.9,38.3963,,,,,687.9,37.0657,,727.9,7.0125,,815.6,5.4211,,929.75,-0.2572
,498,36.2935,,,,,688,34.9964,,728,6.4238,,815.8,5.0381,,930,-0.2338
,498.1,34.1771,,,,,688.1,32.9591,,728.1,5.889,,816,4.6851,,930.25,-0.1971
,498.2,32.0662,,,,,688.2,30.9669,,728.2,5.4031,,816.2,4.3595,,930.5,-0.1527
,498.3,29.9792,,,,,688.3,29.0311,,728.3,4.9616,,816.4,4.0592,,930.75,-0.1063
,498.4,27.9329,,,,,688.4,27.1611,,728.4,4.5598,,816.6,3.7821,,931,-0.0632
,498.5,25.9427,,,,,688.5,25.3642,,728.5,4.1939,,816.8,3.5264,,931.25,-0.0275
,498.6,24.0221,,,,,688.6,23.6459,,728.6,3.8603,,817,3.2903,,931.5,-0.0016
,498.7,22.1823,,,,,688.7,22.01,,728.7,3.5558,,817.2,3.0723,,931.75,0.0139
,498.8,20.4324,,,,,688.8,20.459,,728.8,3.2776,,817.4,2.871,,932,0.0205
,498.9,18.7794,,,,,688.9,18.994,,728.9,3.0234,,817.6,2.685,,932.25,0.021
,499,17.2277,,,,,689,17.6153,,729,2.791,,817.8,2.513,,932.5,0.019
,499.1,15.7801,,,,,689.1,16.3225,,729.1,2.5787,,818,2.3538,,932.75,0.0186
,499.2,14.4369,,,,,689.2,15.1143,,729.2,2.3846,,818.2,2.2062,,933,0.0231
,499.3,13.197,,,,,689.3,13.9886,,729.3,2.2073,,818.4,2.0693,,933.25,0.0349
,499.4,12.0579,,,,,689.4,12.9432,,729.4,2.0452,,818.6,1.9421,,933.5,0.055
,499.5,11.0155,,,,,689.5,11.9747,,729.5,1.8971,,818.8,1.8238,,933.75,0.0831
,499.6,10.065,,,,,689.6,11.0796,,729.6,1.7615,,819,1.7137,,934,0.1175
,499.7,9.2009,,,,,689.7,10.2539,,729.7,1.6373,,819.2,1.6111,,934.25,0.1552
,499.8,8.4171,,,,,689.8,9.4929,,729.8,1.5234,,819.4,1.5154,,934.5,0.1932
,499.9,7.7074,,,,,689.9,8.7923,,729.9,1.4188,,819.6,1.4263,,934.75,0.228
,500,7.0654,,,,,690,8.1473,,730,1.3225,,819.8,1.3431,,935,0.2567
,500.1,6.485,,,,,690.1,7.5533,,730.1,1.2338,,820,1.2656,,935.25,0.2773
,500.2,5.9603,,,,,690.2,7.0062,,730.2,1.152,,820.2,1.1933,,935.5,0.2888
,500.3,5.4856,,,,,690.3,6.5017,,730.3,1.0765,,820.4,1.1258,,935.75,0.2912
,500.4,5.0557,,,,,690.4,6.0363,,730.4,1.0068,,820.6,1.0627,,936,0.2859
,500.5,4.6659,,,,,690.5,5.6067,,730.5,0.9423,,820.8,1.0036,,936.25,0.2748
,500.6,4.312,,,,,690.6,5.21,,730.6,0.8827,,821,0.9484,,936.5,0.2604
,500.7,3.9899,,,,,690.7,4.8435,,730.7,0.8274,,821.2,0.8966,,936.75,0.2452
,500.8,3.6964,,,,,690.8,4.5052,,730.8,0.7762,,821.4,0.8481,,937,0.2316
,500.9,3.4283,,,,,690.9,4.1928,,730.9,0.7286,,821.6,0.8026,,937.25,0.2205
,501,3.1831,,,,,691,3.9046,,731,0.6844,,821.8,0.76,,937.5,0.2123
,501.1,2.9584,,,,,691.1,3.6389,,731.1,0.6433,,822,0.7202,,937.75,0.2062
,501.2,2.7522,,,,,691.2,3.3938,,731.2,0.6049,,822.2,0.6829,,938,0.1976
,501.3,2.5627,,,,,691.3,3.1679,,731.3,0.5691,,822.4,0.6482,,938.25,0.1841
,501.4,2.3883,,,,,691.4,2.9593,,731.4,0.5356,,822.6,0.6157,,938.5,0.1585
,501.5,2.2276,,,,,691.5,2.7667,,731.5,0.5044,,822.8,0.5853,,938.75,0.1081
,501.6,2.0794,,,,,691.6,2.5884,,731.6,0.4753,,823,0.5568,,939,0.0402
,501.7,1.9427,,,,,691.7,2.4231,,731.7,0.448,,823.2,0.5299,,939.25,-0.0798
,501.8,1.8163,,,,,691.8,2.2696,,731.8,0.4227,,823.4,0.5046,,939.5,-0.2475
,501.9,1.6995,,,,,691.9,2.1268,,731.9,0.399,,823.6,0.4806,,939.75,-0.4298
,502,1.5914,,,,,692,1.9939,,732,0.377,,823.8,0.4577,,940,-0.7888
,502.1,1.4913,,,,,692.1,1.8701,,732.1,0.3565,,824,0.4358,,,
,502.2,1.3985,,,,,692.2,1.755,,732.2,0.3373,,824.2,0.4149,,,
,502.3,1.3126,,,,,692.3,1.6479,,732.3,0.3195,,824.4,0.395,,,
,502.4,1.2328,,,,,692.4,1.5484,,732.4,0.3028,,824.6,0.376,,,
,502.5,1.1587,,,,,692.5,1.4561,,732.5,0.2871,,824.8,0.3579,,,
,502.6,1.0898,,,,,692.6,1.3704,,732.6,0.2725,,825,0.3408,,,
,502.7,1.0258,,,,,692.7,1.2908,,732.7,0.2587,,825.2,0.3247,,,
,502.8,0.9662,,,,,692.8,1.2167,,732.8,0.2457,,825.4,0.3096,,,
,502.9,0.9107,,,,,692.9,1.1477,,732.9,0.2335,,825.6,0.2955,,,
,503,0.859,,,,,693,1.0831,,733,0.2219,,825.8,0.2825,,,
,503.1,0.8108,,,,,693.1,1.0226,,733.1,0.2111,,826,0.2704,,,
,503.2,0.7658,,,,,693.2,0.9658,,733.2,0.2009,,826.2,0.2591,,,
,503.3,0.7237,,,,,693.3,0.9124,,733.3,0.1912,,826.4,0.2487,,,
,503.4,0.6844,,,,,693.4,0.8622,,733.4,0.1822,,826.6,0.2389,,,
,503.5,0.6477,,,,,693.5,0.815,,733.5,0.1737,,826.8,0.2297,,,
,503.6,0.6133,,,,,693.6,0.7707,,733.6,0.1657,,827,0.2209,,,
,503.7,0.581,,,,,693.7,0.7292,,733.7,0.1581,,827.2,0.2125,,,
,503.8,0.5509,,,,,693.8,0.6904,,733.8,0.1511,,827.4,0.2044,,,
,503.9,0.5226,,,,,693.9,0.654,,733.9,0.1444,,827.6,0.1965,,,
,504,0.496,,,,,694,0.6201,,734,0.138,,827.8,0.1888,,,
,504.1,0.4711,,,,,694.1,0.5883,,734.1,0.132,,828,0.1813,,,
,504.2,0.4477,,,,,694.2,0.5584,,734.2,0.1262,,828.2,0.1741,,,
,504.3,0.4257,,,,,694.3,0.5303,,734.3,0.1207,,828.4,0.1671,,,
,504.4,0.405,,,,,694.4,0.5038,,734.4,0.1155,,828.6,0.1604,,,
,504.5,0.3855,,,,,694.5,0.4788,,734.5,0.1105,,828.8,0.1541,,,
,504.6,0.3671,,,,,694.6,0.455,,734.6,0.1057,,829,0.1481,,,
,504.7,0.3498,,,,,694.7,0.4325,,734.7,0.1011,,829.2,0.1424,,,
,504.8,0.3334,,,,,694.8,0.4112,,734.8,0.0968,,829.4,0.1371,,,
,504.9,0.318,,,,,694.9,0.391,,734.9,0.0926,,829.6,0.132,,,
,505,0.3034,,,,,695,0.3719,,735,0.0887,,829.8,0.1273,,,
,505.1,0.2897,,,,,695.1,0.3539,,735.1,0.085,,830,0.1227,,,
,505.2,0.2766,,,,,695.2,0.337,,735.2,0.0815,,830.2,0.1183,,,
,505.3,0.2643,,,,,695.3,0.321,,735.3,0.0781,,830.4,0.1141,,,
,505.4,0.2526,,,,,695.4,0.306,,735.4,0.0749,,830.6,0.1099,,,
,505.5,0.2416,,,,,695.5,0.2918,,735.5,0.0719,,830.8,0.1059,,,
,505.6,0.2311,,,,,695.6,0.2785,,735.6,0.0691,,831,0.102,,,
,505.7,0.2212,,,,,695.7,0.2658,,735.7,0.0663,,831.2,0.0982,,,
,505.8,0.2117,,,,,695.8,0.2539,,735.8,0.0637,,831.4,0.0946,,,
,505.9,0.2028,,,,,695.9,0.2426,,735.9,0.0611,,831.6,0.0912,,,
,506,0.1944,,,,,696,0.2319,,736,0.0587,,831.8,0.0879,,,
,506.1,0.1863,,,,,696.1,0.2218,,736.1,0.0563,,832,0.0848,,,
,506.2,0.1787,,,,,696.2,0.2124,,736.2,0.0541,,832.2,0.082,,,
,506.3,0.1715,,,,,696.3,0.2034,,736.3,0.0519,,832.4,0.0793,,,
,506.4,0.1646,,,,,696.4,0.195,,736.4,0.0498,,832.6,0.0767,,,
,506.5,0.1581,,,,,696.5,0.187,,736.5,0.0478,,832.8,0.0744,,,
,506.6,0.1519,,,,,696.6,0.1794,,736.6,0.046,,833,0.0722,,,
,506.7,0.1459,,,,,696.7,0.1722,,736.7,0.0442,,833.2,0.0701,,,
,506.8,0.1403,,,,,696.8,0.1652,,736.8,0.0426,,833.4,0.0681,,,
,506.9,0.1349,,,,,696.9,0.1586,,736.9,0.0411,,833.6,0.0662,,,
,507,0.1297,,,,,697,0.1521,,737,0.0396,,833.8,0.0644,,,
,507.1,0.1247,,,,,697.1,0.146,,737.1,0.0383,,834,0.0627,,,
,507.2,0.12,,,,,697.2,0.1401,,737.2,0.0371,,834.2,0.061,,,
,507.3,0.1154,,,,,697.3,0.1344,,737.3,0.0359,,834.4,0.0594,,,
,507.4,0.1111,,,,,697.4,0.129,,737.4,0.0348,,834.6,0.0578,,,
,507.5,0.1069,,,,,697.5,0.1239,,737.5,0.0337,,834.8,0.0562,,,
,507.6,0.1029,,,,,697.6,0.1191,,737.6,0.0327,,835,0.0547,,,
,507.7,0.099,,,,,697.7,0.1145,,737.7,0.0317,,835.2,0.0531,,,
,507.8,0.0953,,,,,697.8,0.1101,,737.8,0.0306,,835.4,0.0516,,,
,507.9,0.0918,,,,,697.9,0.106,,737.9,0.0296,,835.6,0.0501,,,
,508,0.0884,,,,,698,0.102,,738,0.0287,,835.8,0.0486,,,
,508.1,0.0852,,,,,698.1,0.0982,,738.1,0.0277,,836,0.0471,,,
,508.2,0.0821,,,,,698.2,0.0945,,738.2,0.0267,,836.2,0.0456,,,
,508.3,0.0791,,,,,698.3,0.091,,738.3,0.0258,,836.4,0.0442,,,
,508.4,0.0763,,,,,698.4,0.0876,,738.4,0.025,,836.6,0.0428,,,
,508.5,0.0736,,,,,698.5,0.0843,,738.5,0.0241,,836.8,0.0416,,,
,508.6,0.071,,,,,698.6,0.0811,,738.6,0.0233,,837,0.0404,,,
,508.7,0.0685,,,,,698.7,0.078,,738.7,0.0225,,837.2,0.0394,,,
,508.8,0.0662,,,,,698.8,0.0751,,738.8,0.0217,,837.4,0.0384,,,
,508.9,0.0639,,,,,698.9,0.0722,,738.9,0.021,,837.6,0.0376,,,
,509,0.0618,,,,,699,0.0695,,739,0.0202,,837.8,0.0369,,,
,509.1,0.0598,,,,,699.1,0.0668,,739.1,0.0195,,838,0.0365,,,
,509.2,0.0578,,,,,699.2,0.0641,,739.2,0.0188,,838.2,0.036,,,
,509.3,0.0562,,,,,699.3,0.0616,,739.3,0.018,,838.4,0.0355,,,
,509.4,0.0543,,,,,699.4,0.0591,,739.4,0.0174,,838.6,0.0355,,,
,509.5,0.0529,,,,,699.5,0.0568,,739.5,0.0167,,838.8,0.0346,,,
,509.6,0.0522,,,,,699.6,0.0552,,739.6,0.016,,839,0.0346,,,
,509.7,0.0491,,,,,699.7,0.0527,,739.7,0.0161,,839.2,0.0348,,,
,509.8,0.0509,,,,,699.8,0.0528,,739.8,0.0148,,839.4,0.0309,,,
,509.9,0.0492,,,,,699.9,0.0525,,739.9,0.0153,,839.6,0.0357,,,
,510,0.0422,,,,,700,0.0492,,740,0.0166,,839.8,0.03,,,
,,,,,,,,,,,,,840,0.022,,,
