700,0.0071
700.1,0.0055
700.2,0.0067
700.3,0.0091
700.4,0.0089
700.5,0.0098
700.6,0.0101
700.7,0.0101
700.8,0.0103
700.9,0.0104
701,0.0105
701.1,0.0106
701.2,0.0107
701.3,0.0109
701.4,0.0111
701.5,0.0113
701.6,0.0116
701.7,0.0119
701.8,0.0122
701.9,0.0126
702,0.0129
702.1,0.0133
702.2,0.0138
702.3,0.0142
702.4,0.0147
702.5,0.0152
702.6,0.0157
702.7,0.0163
702.8,0.0169
702.9,0.0175
703,0.0181
703.1,0.0187
703.2,0.0194
703.3,0.0201
703.4,0.0208
703.5,0.0215
703.6,0.0223
703.7,0.023
703.8,0.0238
703.9,0.0245
704,0.0253
704.1,0.0261
704.2,0.027
704.3,0.0279
704.4,0.0288
704.5,0.0299
704.6,0.031
704.7,0.0321
704.8,0.0334
704.9,0.0347
705,0.0362
705.1,0.0376
705.2,0.0392
705.3,0.0408
705.4,0.0424
705.5,0.0441
705.6,0.0459
705.7,0.0476
705.8,0.0495
705.9,0.0514
706,0.0534
706.1,0.0555
706.2,0.0577
706.3,0.0601
706.4,0.0625
706.5,0.0652
706.6,0.068
706.7,0.0709
706.8,0.0741
706.9,0.0774
707,0.081
707.1,0.0848
707.2,0.0888
707.3,0.093
707.4,0.0974
707.5,0.1021
707.6,0.1071
707.7,0.1122
707.8,0.1176
707.9,0.1233
708,0.1292
708.1,0.1354
708.2,0.1419
708.3,0.1487
708.4,0.156
708.5,0.1636
708.6,0.1718
708.7,0.1805
708.8,0.1898
708.9,0.1997
709,0.2104
709.1,0.2218
709.2,0.234
709.3,0.247
709.4,0.2609
709.5,0.2758
709.6,0.2915
709.7,0.3083
709.8,0.3262
709.9,0.3452
710,0.3654
710.1,0.387
710.2,0.41
710.3,0.4346
710.4,0.461
710.5,0.4893
710.6,0.5198
710.7,0.5525
710.8,0.5877
710.9,0.6257
711,0.6666
711.1,0.7107
711.2,0.7582
711.3,0.8095
711.4,0.8648
711.5,0.9246
711.6,0.9891
711.7,1.059
711.8,1.1346
711.9,1.2165
712,1.3052
712.1,1.4014
712.2,1.5058
712.3,1.6192
712.4,1.7425
712.5,1.8768
712.6,2.0233
712.7,2.1834
712.8,2.3585
712.9,2.5504
713,2.7608
713.1,2.9917
713.2,3.2451
713.3,3.5233
713.4,3.8286
713.5,4.1637
713.6,4.5314
713.7,4.935
713.8,5.378
713.9,5.8645
714,6.3992
714.1,6.9872
714.2,7.6341
714.3,8.3459
714.4,9.1289
714.5,9.9896
714.6,10.9342
714.7,11.9688
714.8,13.0988
714.9,14.3287
715,15.6619
715.1,17.1004
715.2,18.6443
715.3,20.292
715.4,22.0394
715.5,23.8801
715.6,25.8051
715.7,27.8026
715.8,29.8586
715.9,31.9563
716,34.077
716.1,36.2002
716.2,38.3046
716.3,40.3682
716.4,42.3696
716.5,44.2886
716.6,46.1067
716.7,47.8083
716.8,49.3806
716.9,50.8145
717,52.1044
717.1,53.2482
717.2,54.2474
717.3,55.1066
717.4,55.8329
717.5,56.4358
717.6,56.9263
717.7,57.3166
717.8,57.6194
717.9,57.8477
718,58.0141
718.1,58.1307
718.2,58.2085
718.3,58.2575
718.4,58.2861
718.5,58.3014
718.6,58.3091
718.7,58.3134
718.8,58.3172
718.9,58.3223
719,58.3297
719.1,58.3396
719.2,58.3518
719.3,58.3657
719.4,58.3804
719.5,58.3949
719.6,58.4081
719.7,58.4188
719.8,58.4255
719.9,58.4269
720,58.4212
720.1,58.4068
720.2,58.3817
720.3,58.3443
720.4,58.2927
720.5,58.2256
720.6,58.1416
720.7,58.04
720.8,57.9202
720.9,57.7823
721,57.6267
721.1,57.4542
721.2,57.266
721.3,57.0635
721.4,56.8483
721.5,56.6223
721.6,56.3872
721.7,56.1451
721.8,55.8979
721.9,55.6475
722,55.3959
722.1,55.1452
722.2,54.8973
722.3,54.6542
722.4,54.4178
722.5,54.1901
722.6,53.9727
722.7,53.7672
722.8,53.5749
722.9,53.3966
723,53.2328
723.1,53.0836
723.2,52.9485
723.3,52.8261
723.4,52.7146
723.5,52.6112
723.6,52.5122
723.7,52.413
723.8,52.3078
723.9,52.19
724,52.0518
724.1,51.8842
724.2,51.6776
724.3,51.4216
724.4,51.1053
724.5,50.7175
724.6,50.2473
724.7,49.6842
724.8,49.0186
724.9,48.2422
725,47.3486
725.1,46.3333
725.2,45.1943
725.3,43.9326
725.4,42.552
725.5,41.0596
725.6,39.4653
725.7,37.7819
725.8,36.025
725.9,34.2118
726,32.361
726.1,30.4921
726.2,28.6243
726.3,26.7758
726.4,24.9637
726.5,23.2028
726.6,21.5056
726.7,19.8821
726.8,18.3398
726.9,16.8836
727,15.5165
727.1,14.2395
727.2,13.0522
727.3,11.9528
727.4,10.9387
727.5,10.0066
727.6,9.1524
727.7,8.3718
727.8,7.6602
727.9,7.0125
728,6.4238
728.1,5.889
728.2,5.4031
728.3,4.9616
728.4,4.5598
728.5,4.1939
728.6,3.8603
728.7,3.5558
728.8,3.2776
728.9,3.0234
729,2.791
729.1,2.5787
729.2,2.3846
729.3,2.2073
729.4,2.0452
729.5,1.8971
729.6,1.7615
729.7,1.6373
729.8,1.5234
729.9,1.4188
730,1.3225
730.1,1.2338
730.2,1.152
730.3,1.0765
730.4,1.0068
730.5,0.9423
730.6,0.8827
730.7,0.8274
730.8,0.7762
730.9,0.7286
731,0.6844
731.1,0.6433
731.2,0.6049
731.3,0.5691
731.4,0.5356
731.5,0.5044
731.6,0.4753
731.7,0.448
731.8,0.4227
731.9,0.399
732,0.377
732.1,0.3565
732.2,0.3373
732.3,0.3195
732.4,0.3028
732.5,0.2871
732.6,0.2725
732.7,0.2587
732.8,0.2457
732.9,0.2335
733,0.2219
733.1,0.2111
733.2,0.2009
733.3,0.1912
733.4,0.1822
733.5,0.1737
733.6,0.1657
733.7,0.1581
733.8,0.1511
733.9,0.1444
734,0.138
734.1,0.132
734.2,0.1262
734.3,0.1207
734.4,0.1155
734.5,0.1105
734.6,0.1057
734.7,0.1011
734.8,0.0968
734.9,0.0926
735,0.0887
735.1,0.085
735.2,0.0815
735.3,0.0781
735.4,0.0749
735.5,0.0719
735.6,0.0691
735.7,0.0663
735.8,0.0637
735.9,0.0611
736,0.0587
736.1,0.0563
736.2,0.0541
736.3,0.0519
736.4,0.0498
736.5,0.0478
736.6,0.046
736.7,0.0442
736.8,0.0426
736.9,0.0411
737,0.0396
737.1,0.0383
737.2,0.0371
737.3,0.0359
737.4,0.0348
737.5,0.0337
737.6,0.0327
737.7,0.0317
737.8,0.0306
737.9,0.0296
738,0.0287
738.1,0.0277
738.2,0.0267
738.3,0.0258
738.4,0.025
738.5,0.0241
738.6,0.0233
738.7,0.0225
738.8,0.0217
738.9,0.021
739,0.0202
739.1,0.0195
739.2,0.0188
739.3,0.018
739.4,0.0174
739.5,0.0167
739.6,0.016
739.7,0.0161
739.8,0.0148
739.9,0.0153
740,0.0166
